site,lat,lon,HR_NAME
10258100,33.5689166,-116.5127935,Colorado River
10258500,33.74502178,-116.5355709,Colorado River
10258700,33.75277778,-116.5444444,Colorado River
10259000,33.7600211,-116.5500155,Colorado River
10259050,33.79724196,-116.481958,Colorado River
10259100,33.749466,-116.4227903,Colorado River
10259200,33.63113647,-116.3922342,Colorado River
10259300,33.7372434,-116.236118,Colorado River
10259540,33.52474915,-116.0775023,Colorado River
10259600,33.74446164,-115.8272154,Colorado River
10259920,33.52780386,-115.9738878,Colorado River
10260200,34.17195164,-116.5466836,Colorado River
10260400,34.3477816,-116.8458638,Colorado River
11460920,38.34824949,-122.9802769,North Coast
11460940,39.319332,-123.2233399,North Coast
11461000,39.1954471,-123.1950048,North Coast
11461400,39.2609999,-123.1163915,North Coast
11461500,39.24655605,-123.1302806,North Coast
11461501,39.24655605,-123.1302806,North Coast
11462000,39.1973914,-123.1875046,North Coast
11462080,39.1129496,-123.1830602,North Coast
11462500,39.02656314,-123.1305588,North Coast
11462700,38.97212104,-123.1427815,North Coast
11463000,38.8793475,-123.0536124,North Coast
11463160,38.76351754,-122.74638,North Coast
11463170,38.79768326,-122.8024929,North Coast
11463200,38.8260167,-122.9969442,North Coast
11463500,38.71268685,-122.8958295,North Coast
11463682,38.65824247,-122.8294376,North Coast
11463900,38.6410198,-122.7638792,North Coast
11463940,38.60824169,-122.6947095,North Coast
11463980,38.6329653,-122.8555494,North Coast
11464000,38.61324316,-122.8363818,North Coast
11464050,38.88601437,-123.1552822,North Coast
11464400,38.7890748,-123.1555604,North Coast
11464500,38.74963216,-123.0922252,North Coast
11464860,38.69602174,-123.0966697,North Coast
11465000,38.71963226,-123.0005556,North Coast
11465050,38.72213199,-122.9774992,North Coast
11465150,38.70046558,-122.9722211,North Coast
11465200,38.698521,-122.9580539,North Coast
11465240,38.65324355,-122.9272191,North Coast
11465350,38.58741046,-122.8622159,North Coast
11465390,38.5157448,-122.8647153,North Coast
11465500,38.50935499,-122.7697109,North Coast
11465660,38.34324776,-122.7019317,North Coast
11465680,38.35213667,-122.7441551,North Coast
11465690,38.40213524,-122.7330434,North Coast
11465700,38.37352515,-122.7683227,North Coast
11465750,38.42546874,-122.8291584,North Coast
11465800,38.45685536,-122.6316512,North Coast
11466065,38.45491127,-122.6802637,North Coast
11466170,38.4388007,-122.7024867,North Coast
11466200,38.4365787,-122.7247096,North Coast
11466320,38.44519026,-122.8072129,North Coast
11466800,38.49407838,-122.8533258,North Coast
11467000,38.50852336,-122.9277737,North Coast
11467200,38.5065797,-123.0697239,North Coast
11467295,38.69407879,-123.4102865,North Coast
11467485,38.7093563,-123.4077864,North Coast
11467500,38.70491205,-123.4230642,North Coast
11467510,38.70907868,-123.4266753,North Coast
11467553,38.7899103,-123.5094535,North Coast
11467600,38.92629636,-123.6302925,North Coast
11467800,38.9929568,-123.4344535,North Coast
11467850,39.02545348,-123.2913963,North Coast
11468000,39.17045608,-123.668069,North Coast
11468010,39.260174,-123.6177893,North Coast
11468070,39.2290609,-123.4663987,North Coast
11468092,39.3182268,-123.6147342,North Coast
11468150,39.3868371,-123.8127934,North Coast
11468500,39.42822378,-123.7377917,North Coast
11468540,39.4568332,-123.7233474,North Coast
11468600,39.57266134,-123.7002934,North Coast
